Gene	Symbol	Mock.no4sU.A Readcount	Mock.1h.A Readcount	Mock.2h.A Readcount	Mock.2h.B Readcount	Mock.3h.A Readcount	Mock.4h.A Readcount	SARS.no4sU.A Readcount	SARS.1h.A Readcount	SARS.2h.A Readcount	SARS.2h.B Readcount	SARS.3h.A Readcount	SARS.4h.A Readcount	Mock.1h.A 0.05 quantile	Mock.1h.A Mean	Mock.1h.A MAP	Mock.1h.A 0.95 quantile	Mock.2h.A 0.05 quantile	Mock.2h.A Mean	Mock.2h.A MAP	Mock.2h.A 0.95 quantile	Mock.2h.B 0.05 quantile	Mock.2h.B Mean	Mock.2h.B MAP	Mock.2h.B 0.95 quantile	Mock.3h.A 0.05 quantile	Mock.3h.A Mean	Mock.3h.A MAP	Mock.3h.A 0.95 quantile	Mock.4h.A 0.05 quantile	Mock.4h.A Mean	Mock.4h.A MAP	Mock.4h.A 0.95 quantile	SARS.1h.A 0.05 quantile	SARS.1h.A Mean	SARS.1h.A MAP	SARS.1h.A 0.95 quantile	SARS.2h.A 0.05 quantile	SARS.2h.A Mean	SARS.2h.A MAP	SARS.2h.A 0.95 quantile	SARS.2h.B 0.05 quantile	SARS.2h.B Mean	SARS.2h.B MAP	SARS.2h.B 0.95 quantile	SARS.3h.A 0.05 quantile	SARS.3h.A Mean	SARS.3h.A MAP	SARS.3h.A 0.95 quantile	SARS.4h.A 0.05 quantile	SARS.4h.A Mean	SARS.4h.A MAP	SARS.4h.A 0.95 quantile	Mock.1h.A alpha	Mock.1h.A beta	Mock.2h.A alpha	Mock.2h.A beta	Mock.2h.B alpha	Mock.2h.B beta	Mock.3h.A alpha	Mock.3h.A beta	Mock.4h.A alpha	Mock.4h.A beta	SARS.1h.A alpha	SARS.1h.A beta	SARS.2h.A alpha	SARS.2h.A beta	SARS.2h.B alpha	SARS.2h.B beta	SARS.3h.A alpha	SARS.3h.A beta	SARS.4h.A alpha	SARS.4h.A beta	Length
ENSG00000171988	JMJD1C	133	1322.5	861.5	1156.5	1335.5	1230	139	658	829	1217	334	540.5	0.1124	0.1335	0.1324	0.1559	0.6001	0.6414	0.6413	0.6815	0.6593	0.6943	0.6943	0.7282	0.8548	0.8864	0.8867	0.9143	0.8997	0.9302	0.9308	0.9552	0.0845	0.1123	0.11	0.1429	0.6856	0.7318	0.7317	0.7754	0.6699	0.7076	0.7075	0.7437	0.8732	0.9494	0.9539	0.9868	0.9645	1	1	0.9991	88.4012	573.718	240.4766	134.5449	335.4264	147.7665	271.0658	34.8791	210.5933	15.9394	35.3259	279.2148	191.9957	70.4761	290.706	120.2621	39.0542	2.4073	89.9303	1.1378	8666
ENSG00000198408	MGEA5	205.5	1963.5	1426.5	1715.5	2498	1817	136.5	675	904	1252.8333	489	709	0.0544	0.0676	0.0668	0.082	0.2333	0.2587	0.258	0.2848	0.2628	0.2856	0.2852	0.3089	0.375	0.3959	0.3957	0.4169	0.5099	0.5359	0.5357	0.5617	0.1151	0.1461	0.1439	0.1795	0.6317	0.6766	0.6764	0.7197	0.5682	0.6039	0.6036	0.6388	0.677	0.7363	0.7364	0.7912	0.8764	0.9267	0.9275	0.9637	60.6873	836.1614	202.1277	579.1954	297.5366	744.1692	582.4459	888.8239	536.7885	465.0523	47.2358	276.1616	205.9964	98.5734	312.6459	205.1939	117.9823	42.3712	87.8309	7.104	5155
ENSG00000133318	RTN3	573	6435	4764.6667	5277.5	10345.8333	8379	104.5	1042	1040	1289	551.5	748.3333	0.0104	0.0141	0.0137	0.0183	0.0476	0.0546	0.0543	0.0619	0.0457	0.052	0.0518	0.0586	0.0639	0.069	0.0689	0.0743	0.1019	0.1087	0.1085	0.1155	0.0353	0.0503	0.0487	0.0675	0.1057	0.1277	0.1265	0.1513	0.1188	0.1393	0.1383	0.1608	0.1038	0.1339	0.1316	0.1666	0.1316	0.1587	0.1572	0.1873	33.718	2361.0043	149.1047	2582.9603	165.9326	3023.8352	441.3425	5955.6158	613.5022	5032.6841	24.8162	467.8446	73.6494	502.7977	101.8797	629.6923	42.3577	274.0554	73.6262	390.4247	4937
ENSG00000174903	RAB1B	576.3333	8406.1667	6923.75	5274.3333	11259.8333	9878	110.5	1185	1522.3333	1335	693	923.3333	0.0126	0.0165	0.0162	0.0208	0.068	0.0752	0.075	0.0826	0.0668	0.0748	0.0745	0.0831	0.1082	0.1148	0.1147	0.1215	0.1556	0.1635	0.1633	0.1714	0.0473	0.0645	0.0629	0.0839	0.2021	0.2278	0.2269	0.2542	0.2106	0.2387	0.2377	0.2678	0.2689	0.3114	0.3097	0.3552	0.3423	0.3804	0.3794	0.4191	43.1458	2572.6133	266.3941	3277.394	208.3415	2577.6978	714.9765	5511.9039	963.8422	4932.8197	31.1663	451.5608	159.246	540.0252	143.0042	456.0957	96.8385	214.185	164.1357	267.4158	2007
ENSG00000070047	PHRF1	233	3519	3191	1807.5	3680	3413	111	1043.5	1690.5	1346	656.5	824	0.0289	0.0381	0.0374	0.0485	0.4912	0.5178	0.5174	0.5442	0.4208	0.4538	0.4532	0.4868	0.7322	0.758	0.7579	0.7828	0.8296	0.8562	0.8562	0.8807	0.0514	0.0739	0.0714	0.0995	0.5461	0.5872	0.5866	0.6275	0.4693	0.5136	0.5127	0.5575	0.7624	0.8377	0.8371	0.8997	0.9272	0.9886	1	0.9968	39.4667	994.4315	498.4629	464.3822	278.6495	335.4736	588.1265	187.8746	436.8775	73.5176	23.4075	293.1599	232.0045	163.1959	178.2027	168.8634	64.4025	12.6279	50.4683	1.4553	5523
ENSG00000107742	SPOCK2	1288.5	17640.5	14146.5	10946.5	23288.5	20083.3333	204	2988.5	3370.5	3174.5	1504.5	1738	0.0158	0.0186	0.0185	0.0217	0.0612	0.0661	0.0659	0.0711	0.0497	0.0546	0.0545	0.0598	0.0758	0.0798	0.0797	0.0838	0.0978	0.1024	0.1023	0.1071	0.0629	0.0753	0.0746	0.0885	0.2801	0.2998	0.2994	0.3198	0.272	0.2922	0.2918	0.3126	0.2957	0.3255	0.3247	0.3557	0.2729	0.2988	0.2981	0.3252	105.804	5569.9554	451.4727	6382.9217	299.4716	5184.0156	992.5539	11447.6639	1184.6423	10383.2675	86.4956	1062.3502	432.8432	1011.0565	396.551	960.8025	214.0427	443.7128	246.8547	579.4132	5445
ENSG00000156508	EEF1A1	8411.6504	89721.9603	70055.3896	79448.9202	138657.9958	115232.587	1422.4262	13708.5024	14304.6433	17869.8195	6859.8786	9267.4195	0.0155	0.0166	0.0166	0.0178	0.0488	0.0506	0.0506	0.0524	0.0475	0.0491	0.0491	0.0508	0.0702	0.0716	0.0716	0.0731	0.0991	0.1009	0.1009	0.1027	0.0563	0.0613	0.0611	0.0664	0.142	0.1485	0.1484	0.1551	0.1387	0.1445	0.1444	0.1504	0.1629	0.1728	0.1727	0.183	0.1972	0.2062	0.2061	0.2153	580.9645	34387.4853	2026.6351	38002.8725	2262.5768	43820.5112	6089.789	78923.9762	7754.1361	69076.5426	377.995	5793.1765	1169.1937	6703.8669	1415.5791	8382.8482	664.2322	3178.8893	1113.1145	4284.7751	4441
ENSG00000148396	SEC16A	284	3263	2830.8333	2287	3732.2857	3130.8333	109	1070	1558	1418	721	934.5	0.023	0.0305	0.0299	0.0389	0.3343	0.3558	0.3554	0.3774	0.3294	0.3526	0.3522	0.3762	0.4981	0.5184	0.5183	0.5386	0.6495	0.6716	0.6716	0.6933	0.029	0.0445	0.0425	0.0626	0.5829	0.6196	0.6192	0.6555	0.5034	0.5403	0.5398	0.5768	0.7567	0.8152	0.8151	0.8668	0.902	0.9553	0.9556	0.9849	38.3854	1219.8631	474.3196	859.0593	396.8732	728.6227	853.8613	793.2402	833.8863	407.8683	18.0033	386.3278	298.9861	183.6713	268.9299	228.902	108.8227	24.7936	65.008	3.3573	8982
ENSG00000147889	CDKN2A	1230.3333	17424.5	17497.3333	10536.6667	22882.9167	20892.3333	192	2422.5	3073	2792	1392.3333	1867.5	0.0135	0.0165	0.0163	0.0198	0.0521	0.0565	0.0563	0.061	0.049	0.0544	0.0542	0.06	0.0825	0.087	0.087	0.0916	0.1302	0.1357	0.1357	0.1413	0.0387	0.0513	0.0502	0.0653	0.1455	0.163	0.1624	0.1812	0.1443	0.1626	0.1619	0.1816	0.1919	0.2213	0.22	0.2518	0.2344	0.261	0.2601	0.2883	72.9734	4346.4023	412.9769	6901.6914	249.5887	4336.0348	902.0028	9461.3307	1395.3195	8885.4052	38.1198	704.9999	188.3674	967.1659	172.1089	886.6867	114.9448	404.6353	187.3225	530.523	1283
ENSG00000123908	AGO2	961.5	9062.3333	6600	6745	12688	10723.3333	312	3474.5	2932.8333	3320.5	1664.5	2449.5	0.0932	0.1005	0.1004	0.1081	0.4446	0.4588	0.4587	0.473	0.4244	0.4378	0.4377	0.4512	0.638	0.6483	0.6483	0.6585	0.7919	0.8024	0.8025	0.8127	0.1041	0.1168	0.1164	0.1301	0.5811	0.6055	0.6054	0.6296	0.5281	0.5501	0.5499	0.5718	0.7956	0.8288	0.8289	0.8595	0.9579	0.9884	0.9857	0.9959	438.7768	3925.2195	1520.7773	1793.9755	1616.2007	2075.6375	3798.2772	2060.7063	3174.2213	781.7282	192.1584	1452.6677	665.0659	433.4322	770.7682	630.5365	310.7616	64.3208	123.2692	2.3716	14581
ENSG00000170312	CDK1	510	3201.5	2327	3566	4833.3333	3791.5	105	646	541	1008.5	307	342	0.0696	0.0801	0.0797	0.0912	0.2453	0.2638	0.2635	0.2827	0.2624	0.2773	0.2771	0.2925	0.3472	0.361	0.3609	0.375	0.5359	0.5526	0.5525	0.5691	0.1329	0.1646	0.1626	0.1986	0.3517	0.398	0.3968	0.4449	0.3848	0.4186	0.4181	0.4526	0.405	0.4672	0.4658	0.5295	0.5755	0.6373	0.6372	0.6967	136.9249	1571.4794	397.0059	1107.8728	666.0921	1735.7456	1167.8482	2067.0286	1341.5996	1086.3867	56.4771	286.5551	118.4252	179.1631	239.4238	332.5928	80.8757	92.294	107.8462	61.4541	1948
ENSG00000173120	KDM2A	349	4617	3547	3013	4973.6667	4515	178	1880	2270	2303.5	1093.5	1426.5	0.1761	0.1904	0.1901	0.2051	0.6026	0.625	0.6249	0.6471	0.5661	0.5893	0.5891	0.6122	0.7359	0.7541	0.7541	0.7717	0.8422	0.8599	0.8599	0.8766	0.2003	0.2249	0.224	0.2502	0.731	0.7623	0.7623	0.7922	0.673	0.7037	0.7035	0.7333	0.8475	0.8936	0.8939	0.9317	0.9633	1	1	0.9987	377.3328	1604.1349	799.5717	479.8002	726.4734	506.5205	1175.4085	383.5348	946.0488	154.3403	170.5449	587.9517	398.2056	124.2797	435.6447	183.5981	128.3867	15.4299	96.5079	1.3336	6967
ENSG00000135387	CAPRIN1	1042	10456	8152.75	9026	13737	10710.5	231	2654	2385.5	3080.3333	1031	1324	0.0378	0.0426	0.0424	0.0477	0.1522	0.1611	0.161	0.1702	0.1369	0.1446	0.1445	0.1525	0.2235	0.2311	0.231	0.2387	0.3326	0.3422	0.3421	0.3519	0.068	0.0805	0.0798	0.0937	0.3397	0.3631	0.3627	0.3867	0.3225	0.3421	0.3418	0.362	0.3675	0.4034	0.4026	0.4396	0.5366	0.5708	0.5705	0.6045	191.5736	4306.2926	719.7194	3747.3337	794.9056	4703.2054	1916.7541	6377.7163	2242.6092	4310.9756	96.9035	1107.3193	410.6894	720.4766	533.9003	1026.6571	201.8074	298.5631	326.9514	245.9549	4108
ENSG00000168439	STIP1	790.5	8493.5	7808.5	6457	10255.75	9412.5	154	1281	1498.5	1559	596	777.5	0.0151	0.0193	0.0191	0.024	0.1537	0.1635	0.1633	0.1735	0.1252	0.135	0.1348	0.145	0.2109	0.2203	0.2201	0.2297	0.3107	0.3217	0.3216	0.3326	0.067	0.0873	0.0856	0.1096	0.3371	0.3699	0.3691	0.4032	0.3583	0.3914	0.3907	0.4249	0.4446	0.5016	0.5001	0.5581	0.598	0.6497	0.6492	0.6994	49.7717	2521.0106	620.0908	3172.0862	437.0023	2800.5988	1157.6832	4098.463	1584.2597	3341.1829	41.1303	430.153	213.2931	363.3736	227.1668	353.3089	104.8234	104.2674	154.9147	83.6417	2743
ENSG00000122861	PLAU	566.5	5896.5	5179.5	4428.5	8212.75	5792.5	232	758	1199	1227	513	704.5	0.0921	0.1017	0.1014	0.1117	0.3935	0.4098	0.4097	0.4262	0.3546	0.3713	0.3711	0.3881	0.5299	0.5433	0.5432	0.5567	0.696	0.7119	0.7119	0.7274	0.2031	0.2425	0.2405	0.2838	0.6908	0.7333	0.7331	0.7734	0.6545	0.696	0.6958	0.7358	0.7933	0.8626	0.8628	0.9186	0.9344	0.9888	0.9955	0.9967	261.3391	2308.9018	1001.299	1441.9621	836.1398	1415.6579	2029.9687	1706.4606	1605.6269	650.0396	73.72	230.3392	226.5038	82.5158	240.568	105.183	69.3815	11.1963	59.1115	1.5717	2658
ENSG00000035403	VCL	1138	12436	10402	9873.5	16134.6667	13820	283	1940.5	2903	2929.5	1355	1867.5	0.0302	0.0344	0.0342	0.0388	0.1671	0.1753	0.1752	0.1836	0.1551	0.1631	0.163	0.1712	0.2364	0.2436	0.2435	0.2509	0.3182	0.3267	0.3266	0.3352	0.0494	0.0627	0.0618	0.0773	0.4977	0.522	0.5218	0.5462	0.4315	0.4548	0.4545	0.4781	0.6493	0.6871	0.6869	0.7234	0.7394	0.7702	0.7702	0.7994	170.2246	4778.4868	1011.412	4758.5042	928.9498	4765.7381	2289.7433	7109.5996	2705.9081	5577.3577	50.9545	761.0125	598.7042	548.3524	561.2428	673.0268	289.9305	132.1823	408.8967	122.1587	7995
ENSG00000186660	ZFP91	369	3193.5	2447.5	2689.5	4283.5	3475.5	126	1120.5	1105	1534.5	543	691	0.0582	0.0692	0.0687	0.0809	0.3227	0.3458	0.3454	0.3691	0.2849	0.3038	0.3035	0.3229	0.4571	0.4743	0.4741	0.4914	0.6867	0.706	0.7061	0.7249	0.0945	0.1171	0.1157	0.1415	0.484	0.5248	0.5242	0.5652	0.4557	0.4866	0.4862	0.5175	0.5172	0.5719	0.5713	0.6255	0.7491	0.7991	0.7995	0.8445	93.3387	1254.9272	393.7982	745.1907	481.8694	1104.4415	1086.0268	1204.0209	1084.5355	451.6861	58.999	444.7434	214.1151	193.9898	344.1479	363.1956	128.558	96.3163	151.4735	38.1974	5220
ENSG00000073921	PICALM	281	2642	2065.5	2443.5	3538	2579.5	118	923	764	1173.5	422.5	501.5	0.021	0.0289	0.0282	0.0378	0.1375	0.1543	0.1537	0.1718	0.1148	0.1286	0.1281	0.1429	0.2034	0.2176	0.2174	0.2322	0.3386	0.3581	0.3579	0.3778	0.0412	0.0587	0.0568	0.0785	0.3192	0.3598	0.3586	0.4011	0.2978	0.3286	0.3278	0.3599	0.4813	0.5411	0.5401	0.5999	0.6523	0.7077	0.7078	0.76	30.9911	1040.4916	185.1876	1014.9617	197.2321	1336.7444	483.4908	1738.1059	580.422	1040.419	25	400.7439	133.4191	237.4667	202.9206	414.7037	102.9507	87.3981	135.8027	56.1801	3613
ENSG00000107581	EIF3A	379	3956.6667	3147.6667	3158.6667	4436.0833	3796	128	996.25	1181.6667	1347.5	447	666	0.0601	0.0702	0.0697	0.0808	0.2669	0.2855	0.2852	0.3044	0.2125	0.2288	0.2285	0.2455	0.3475	0.3639	0.3637	0.3803	0.5363	0.5557	0.5556	0.5749	0.0894	0.114	0.1121	0.1407	0.4886	0.5289	0.5283	0.5688	0.4255	0.4603	0.4597	0.4952	0.6315	0.6986	0.6982	0.7612	0.7198	0.774	0.7741	0.8236	115.7719	1534.0223	446.8411	1118.3569	401.2532	1352.473	846.6302	1480.0504	996.3352	796.7149	47.0606	365.806	221.3746	197.2938	254.4681	298.4248	93.9372	40.646	135.2516	39.612	6646
ENSG00000166483	WEE1	166	2196.3333	1669.5	1462	2407.5	1902.8333	195	1214	1236	1672.3333	720.3333	984.1667	0.3957	0.4263	0.4258	0.457	0.8054	0.8445	0.8447	0.8796	0.8879	0.9205	0.9211	0.9477	0.9218	0.9471	0.9476	0.9675	0.9415	0.9701	0.9701	0.9876	0.3888	0.4291	0.4282	0.4697	0.9265	0.9756	0.9762	0.9932	0.917	0.9537	0.954	0.9789	0.9726	1	1	0.9994	0.9859	1	1	0.9997	299.0902	402.6102	216.9914	40.0958	202.4382	17.6166	243.2563	13.7194	144.6769	4.7693	173.4014	230.7725	66.5437	2.2383	117.5915	5.9163	112.728	1.073	214.9107	1.0348	5187
ENSG00000197746	PSAP	1387.5	17302	13135.5	12592	24655	21101.5	163	1803.5	2222	2381	1177.5	1509	0.0029	0.0043	0.0042	0.006	0.0345	0.0382	0.0381	0.0421	0.0305	0.0341	0.0339	0.0378	0.0447	0.0476	0.0475	0.0506	0.0727	0.0764	0.0764	0.0803	0.0282	0.0393	0.0383	0.052	0.1564	0.1744	0.1738	0.1931	0.1696	0.1878	0.1872	0.2065	0.156	0.1807	0.1796	0.2065	0.2064	0.23	0.2292	0.2543	20.1737	4636.0037	260.8304	6563.893	229.8375	6517.6789	663.6739	13283.0313	1020.0652	12323.425	28.2598	689.5378	201.0025	951.2563	227.744	985.2539	112.8225	511.6444	191.5878	641.6015	2872
ENSG00000156599	ZDHHC5	409.5	3966	3447.1667	3146.5	5654.1667	4589	129	916.5	1121	1229.3333	513.3333	673.5	0.0357	0.0436	0.0432	0.0522	0.2433	0.26	0.2597	0.2771	0.2244	0.2409	0.2405	0.2576	0.3595	0.3736	0.3734	0.3878	0.5029	0.5197	0.5196	0.5364	0.0906	0.1157	0.1138	0.143	0.5572	0.5985	0.5981	0.6388	0.4884	0.5255	0.525	0.5622	0.6527	0.7144	0.7142	0.7719	0.7867	0.8374	0.8379	0.882	72.3462	1585.4345	473.5314	1347.5903	432.2408	1362.3579	1181.0669	1980.5076	1251.5728	1156.9347	46.3343	354.07	233.1835	156.5418	260.2142	235.0887	110.2858	44.2099	134.6828	26.2758	4666
ENSG00000072518	MARK2	262	3561.5	2943.5	1978	3864	3193.6667	115	1218	1334	1177.5	592	730	0.0641	0.0755	0.0749	0.0875	0.362	0.3845	0.3842	0.4072	0.3795	0.407	0.4066	0.4347	0.5639	0.5854	0.5853	0.6067	0.7343	0.758	0.758	0.7809	0.0753	0.0969	0.0952	0.1206	0.4899	0.5299	0.5292	0.5693	0.4672	0.5089	0.5082	0.5504	0.7369	0.8031	0.8029	0.8611	0.9215	0.981	0.9878	0.9953	103.927	1272.8792	480.4662	769.1101	349.2622	508.9433	839.1359	594.4572	690.6576	220.6174	44.4722	414.3784	226.0536	200.6909	198.3453	191.5003	88.265	21.7743	51.6845	1.7036	4728
ENSG00000030066	NUP160	238.5	2225.5	1497.5	2027	2665.3333	1797.5	103	689	646	1080	376	503	0.0397	0.0501	0.0494	0.0615	0.2574	0.2816	0.281	0.3062	0.2348	0.2544	0.254	0.2744	0.3401	0.3593	0.3591	0.3786	0.5484	0.5735	0.5735	0.5984	0.0944	0.1221	0.12	0.1524	0.5881	0.637	0.6367	0.6843	0.536	0.5731	0.5728	0.6097	0.6863	0.7524	0.7526	0.8126	0.841	0.8957	0.8966	0.9394	54.005	1023.8412	258.1328	658.6832	334.2124	979.5813	603.9532	1077.1151	608.4785	452.5274	41.9421	301.3851	171.5969	97.8955	279.3481	208.1507	94.4152	31.1809	92.0028	10.8439	5376
ENSG00000177106	EPS8L2	464	6847	7059.1667	4516.5	8541.5	7639	183	2320.5	3391.6667	2947.5	1436	1654.5	0.0155	0.0207	0.0204	0.0266	0.1929	0.2051	0.2049	0.2176	0.1496	0.1632	0.1629	0.1773	0.3087	0.3217	0.3215	0.3347	0.3813	0.3956	0.3954	0.4099	0.0211	0.032	0.0308	0.0447	0.2935	0.316	0.3155	0.3387	0.2281	0.25	0.2494	0.2724	0.4598	0.5008	0.4999	0.5414	0.6223	0.6629	0.6625	0.7021	37.1106	1749.4026	588.9705	2282.2434	314.6418	1613.0456	1117.1009	2355.869	1253.0643	1914.5037	19.0205	574.7459	360.2832	780.1468	257.5486	772.8112	202.7133	202.2146	250.8272	127.6668	3844
ENSG00000177156	TALDO1	662	8898	7538	5893.1667	10973.6667	9636.8333	121	1752.5	2133.5	2050.5	866	1032	0.0176	0.0218	0.0216	0.0264	0.0573	0.0637	0.0635	0.0703	0.0588	0.066	0.0658	0.0737	0.0895	0.0957	0.0956	0.1021	0.1198	0.127	0.1269	0.1344	0.0148	0.0239	0.0226	0.0348	0.1115	0.1287	0.1279	0.1466	0.1272	0.1458	0.1451	0.1653	0.1393	0.1691	0.1673	0.2006	0.1909	0.2208	0.2195	0.2519	63.7313	2856.6387	242.0727	3559.8309	198.5828	2807.8481	564.625	5336.1076	710.2733	4882.3961	14.9246	608.642	126.1548	854.4499	135.4492	793.289	68.1501	335.0222	110.0524	388.5141	1346
ENSG00000135373	EHF	445	4457.1667	2985	3914.3333	5072.3333	3899.5	163	1867.5	1624	2298.8333	690.3333	769.5	0.1366	0.1488	0.1485	0.1614	0.4199	0.4404	0.4402	0.4608	0.4146	0.432	0.4318	0.4493	0.6046	0.6206	0.6206	0.6365	0.8148	0.8318	0.8319	0.848	0.2835	0.3095	0.3089	0.3359	0.6784	0.7112	0.7111	0.7427	0.7282	0.7552	0.7552	0.781	0.7403	0.7895	0.7898	0.8346	0.9001	0.9471	0.9476	0.978	331.0701	1893.858	701.635	891.7966	952.8165	1253.0274	1559.4713	953.3598	1141.296	230.9789	260.168	580.4926	381.4688	155.0359	540.5931	175.4061	158.8916	42.4781	83.8718	4.9087	3150
ENSG00000023191	RNH1	438.5	6826	5849.8333	3970.2	8041.3333	7238	111	1201	1686.25	1473.6	826.5	964	0.0167	0.0216	0.0213	0.0271	0.0985	0.1079	0.1076	0.1176	0.0895	0.1005	0.1001	0.1119	0.1335	0.1424	0.1422	0.1515	0.1852	0.1956	0.1954	0.206	0.0945	0.1189	0.1171	0.1453	0.3483	0.3801	0.3793	0.412	0.3705	0.4057	0.4048	0.4411	0.4785	0.5289	0.5279	0.5787	0.484	0.5293	0.5284	0.574	45.6769	2064.0713	307.207	2540.8379	194.8375	1744.4487	579.452	3490.0548	768.3054	3160.6619	51.8814	384.5383	238.5073	389.1847	212.0137	310.7256	141.7124	126.3136	175.6973	156.3866	3281
ENSG00000110047	EHD1	425.5	5235.5	5249	3446	7552.6667	6575.5	149	1043.5	1861	1545.5	856	1040	0.0848	0.0954	0.095	0.1064	0.4207	0.4384	0.4383	0.4562	0.4113	0.433	0.4327	0.4546	0.5953	0.611	0.6109	0.6265	0.7024	0.719	0.7189	0.7352	0.0884	0.1138	0.1119	0.1416	0.6418	0.6786	0.6783	0.7142	0.5862	0.6262	0.6257	0.6651	0.7724	0.8298	0.8296	0.8797	0.8838	0.938	0.9382	0.9741	189.3465	1796.2122	924.5942	1184.3941	614.8648	805.4313	1609.6387	1025.1279	1459.224	570.5775	43.6563	339.7852	305.0994	144.612	254.6577	152.1492	109.1957	22.5402	71.4634	4.9353	4551
ENSG00000150093	ITGB1	2054.75	17788.6167	14415.0833	18396.3333	27664	22978.5	395.75	3887.5	3670	5471.4167	1817.8333	2505	0.0081	0.0099	0.0098	0.012	0.0472	0.0511	0.051	0.0551	0.046	0.0494	0.0493	0.0528	0.0792	0.0825	0.0825	0.086	0.1164	0.1207	0.1206	0.125	0.0148	0.0204	0.0199	0.0267	0.1783	0.1923	0.192	0.2067	0.1454	0.1559	0.1557	0.1666	0.2182	0.2394	0.2388	0.2611	0.2868	0.3062	0.3058	0.3258	68.5296	6823.551	421.3111	7827.0196	554.7462	10684.7815	1468.2258	16318.5728	1890.7909	13780.375	30.9048	1484.5027	399.8858	1679.5904	492.6587	2667.3013	255.013	810.3649	462.9047	1049.0955	3784
ENSG00000099250	NRP1	205.5	1734.5	1336	1501	2359.3333	1966.8333	120	409	527.5	588.5	297	577	0.0297	0.0405	0.0395	0.0526	0.2306	0.2561	0.2553	0.2822	0.2045	0.2272	0.2265	0.2505	0.3655	0.387	0.3867	0.4086	0.5578	0.5829	0.5829	0.6078	0.0882	0.1249	0.121	0.1659	0.4721	0.5267	0.5257	0.5806	0.4004	0.4497	0.4485	0.4992	0.6797	0.7575	0.7577	0.827	0.9208	0.9762	0.979	0.9939	32.0901	760.6221	197.9118	575.0958	203.7679	693.1229	534.4111	846.767	612.1206	438.0327	24.1537	169.3154	120.3253	108.2155	122.9219	150.4916	68.5358	22.0516	56.5663	1.9777	5882
ENSG00000134333	LDHA	2305.5833	20234.3333	14969.8333	20728.75	35584.25	30484.3667	415.7	5825.5	4872.7833	7281.6667	2519.5	3271.1667	0.0105	0.0124	0.0123	0.0144	0.0452	0.0489	0.0488	0.0527	0.0435	0.0466	0.0465	0.0497	0.0666	0.0693	0.0693	0.0721	0.0967	0.1	0.1	0.1034	0.0142	0.0185	0.0182	0.0233	0.0502	0.0573	0.057	0.0648	0.0491	0.0548	0.0546	0.0607	0.0725	0.084	0.0834	0.096	0.0967	0.1077	0.1073	0.1192	105.9949	8453.4815	440.8856	8578.7914	598.9033	12265.3366	1604.9563	21545.8061	2146.581	19311.5009	43.5565	2311.1998	157.8938	2597.8714	228.4154	3942.9562	126.0758	1375.3937	220.7354	1828.5549	2416
ENSG00000177600	RPLP2	1754.5	27557	21895.5	16792.5	36151	30133.3333	451.5	7258.5	8180.5833	7818.3333	3427.5	3977.5	0.013	0.0151	0.0151	0.0174	0.0409	0.0442	0.0442	0.0476	0.0339	0.0373	0.0372	0.0409	0.0613	0.0643	0.0642	0.0673	0.0818	0.0853	0.0853	0.0889	0.0161	0.0209	0.0205	0.0261	0.0772	0.0847	0.0844	0.0924	0.0707	0.0781	0.0779	0.0858	0.0885	0.1008	0.1003	0.1137	0.1181	0.1306	0.1302	0.1435	126.9302	8250.782	452.5261	9776.2915	295.1644	7612.4601	1172.4681	17070.3834	1450.8821	15557.0446	46.0607	2158.5214	309.1261	3342.3139	268.3838	3168.2602	156.0379	1392.1376	249.2387	1659.5302	781
ENSG00000177666	PNPLA2	329	5462.5	5109.5	3057	6296.5	5024.1667	152	1619	2479.5	2029.5	1068.8333	1266	0.0461	0.0546	0.0542	0.0636	0.1686	0.1819	0.1816	0.1955	0.1454	0.1613	0.1608	0.1777	0.2165	0.2293	0.2291	0.2422	0.2678	0.2827	0.2825	0.2978	0.0779	0.098	0.0965	0.1197	0.4209	0.4501	0.4496	0.4792	0.3962	0.428	0.4273	0.4598	0.5903	0.6398	0.6391	0.6874	0.7057	0.7528	0.7525	0.7967	99.6183	1724.6073	402.8624	1812.1127	225.8122	1174.0331	664.0685	2232.3751	685.8835	1740.3695	53.3957	491.6944	355.1368	434.0763	279.393	373.5649	168.6996	95.1167	182.372	60.0078	2726
ENSG00000149547	EI24	353	3649	2484	3069	6432.5	5179.5	101	864	860	1042.5	459.5	615	0.0119	0.0168	0.0163	0.0224	0.0648	0.076	0.0754	0.0879	0.0648	0.0745	0.074	0.0846	0.1093	0.1174	0.1172	0.1258	0.1511	0.1613	0.1611	0.1717	0.0273	0.0426	0.0406	0.0606	0.191	0.2214	0.2202	0.2531	0.1596	0.1855	0.1844	0.2126	0.2073	0.2502	0.248	0.2953	0.2517	0.2904	0.289	0.3303	27.5308	1609.2265	107.5151	1307.3386	140.5421	1746.9137	484.4998	3641.6265	555.1649	2887.1688	16.7915	376.8488	106.5817	374.8257	107.9098	473.7974	65.3754	195.9177	104.5639	255.5903	2455
